Subject,Block,Trial,Assistance,Training,ergodicity,error,successtime,tts,PAA,srate,mergodicity,merror,msuccesstime,mtts
3,2,5,1,1,1.324668,0.846825,0,30.008333,0.115982,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,9,1,0,1,0.677468,0.605442,0.366667,17.258333,0.203663,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,3,1,1,1,1.27656,0.848701,0,30.008333,0.108213,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,9,2,0,1,0.578121,0.582449,0,30.008333,0.181465,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,3,2,1,1,1.259744,0.830175,0,30.008333,0.140954,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,9,3,0,1,0.895458,0.671709,0,30.008333,0.191454,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,3,3,1,1,0.794395,0.701219,1.016667,22.308332,0.164817,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,9,4,0,1,0.773461,0.637316,0,30.008333,0.226415,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,3,4,1,1,0.921577,0.726455,0.5,29.075001,0.159822,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,9,5,0,1,0.643542,0.603164,0,30.008333,0.194784,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,3,5,1,1,1.203869,0.803995,0,30.008333,0.120422,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,10,1,0,1,0.753113,0.629698,0,30.008333,0.195893,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,4,1,1,1,0.935912,0.728174,0.616667,27.308332,0.139845,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,10,2,0,1,0.870075,0.658223,0,30.008333,0.109323,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,4,2,1,1,0.897822,0.732627,0.466667,24.958334,0.152053,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,10,3,0,1,0.746943,0.627378,0,30.008333,0.177026,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,4,3,1,1,0.883562,0.723828,1.016667,25.241667,0.156493,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,10,4,0,1,0.621787,0.591236,0,30.008333,0.22697,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,4,4,1,1,0.958884,0.730198,0,30.008333,0.13818,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,10,5,0,1,0.672307,0.61925,0,30.008333,0.17758,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,4,5,1,1,0.869714,0.708781,0.7,29.325001,0.141509,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,11,1,0,1,0.777324,0.637203,0,30.008333,0.188679,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,5,1,1,1,1.267158,0.823665,0,30.008333,0.069367,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,11,2,0,1,0.572015,0.573637,0,30.008333,0.169811,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,5,2,1,1,0.85128,0.720404,0.533333,23.591667,0.160377,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,11,3,0,1,0.840141,0.653907,0,30.008333,0.150388,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,5,3,1,1,1.18159,0.804341,0,30.008333,0.116537,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,11,4,0,1,0.763252,0.623799,0,30.008333,0.181465,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,5,4,1,1,0.877393,0.720426,0,30.008333,0.150388,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,11,5,0,1,0.557249,0.573924,0.85,16.625,0.165372,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,5,5,1,1,1.111609,0.768548,0,30.008333,0.120422,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,12,1,0,1,0.605759,0.589584,0,30.008333,0.198668,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,6,1,1,1,0.921201,0.72768,0.033333,28.758333,0.135405,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,12,2,0,1,0.778155,0.634595,0,30.008333,0.166482,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,6,2,1,1,0.823734,0.720568,1.833333,23.825001,0.155938,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,12,3,0,1,0.848638,0.649652,0,30.008333,0.13485,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
3,6,3,1,1,1.057694,0.760624,0,30.008333,0.117647,0.5333333333,0.9842751,0.7495066667,0.4383333667,27.7188887333
3,12,4,0,1,1.106926,0.73625,0,30.008333,0.183685,0.1,0.7774210667,0.6404644,0.0888889,29.0377774667
